name,tags,time,current_status,current_stop_sequence,data,id,occupancy_status,revenue,route,stop,trip
delay,,1733425799000000000,STOPPED_AT,11,0,y3260,MANY_SEATS_AVAILABLE,REVENUE,1,77,64459589
delay,,1733426041000000000,STOPPED_AT,12,0,y3260,MANY_SEATS_AVAILABLE,REVENUE,1,79,64459589
delay,,1733426283000000000,STOPPED_AT,14,0,y3260,MANY_SEATS_AVAILABLE,REVENUE,1,82,64459589
delay,,1733426524000000000,IN_TRANSIT_TO,16,67,y3260,MANY_SEATS_AVAILABLE,REVENUE,1,84,64459589
delay,,1733426766000000000,IN_TRANSIT_TO,17,124,y3260,MANY_SEATS_AVAILABLE,REVENUE,1,59,64459589
delay,,1733427249000000000,IN_TRANSIT_TO,22,310,y3260,MANY_SEATS_AVAILABLE,REVENUE,1,62,64459589
delay,,1733427492000000000,STOPPED_AT,12,0,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,79,64463833
delay,,1733427733000000000,STOPPED_AT,14,0,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,82,64463833
delay,,1733427975000000000,IN_TRANSIT_TO,17,0,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,59,64463833
delay,,1733428216000000000,IN_TRANSIT_TO,18,68,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,854,64463833
delay,,1733428700000000000,STOPPED_AT,1,0,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463476
delay,,1733428941000000000,STOPPED_AT,1,0,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463476
delay,,1733429183000000000,IN_TRANSIT_TO,3,23,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,2,64463476
delay,,1733429425000000000,IN_TRANSIT_TO,6,18,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,57,64463476
delay,,1733429666000000000,IN_TRANSIT_TO,9,37,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,87,64463476
delay,,1733430150000000000,IN_TRANSIT_TO,13,28,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,93,64463476
delay,,1733430391000000000,IN_TRANSIT_TO,15,62,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,97,64463476
delay,,1733430633000000000,IN_TRANSIT_TO,17,48,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,101,64463476
delay,,1733430875000000000,IN_TRANSIT_TO,20,0,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,106,64463476
delay,,1733431116000000000,STOPPED_AT,1,0,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463840
delay,,1733431358000000000,STOPPED_AT,1,0,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463840
delay,,1733431600000000000,STOPPED_AT,1,0,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463840
delay,,1733431841000000000,STOPPED_AT,1,103,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463840
delay,,1733432083000000000,STOPPED_AT,1,340,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463840
delay,,1733432325000000000,IN_TRANSIT_TO,5,274,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,69,64463840
delay,,1733432566000000000,IN_TRANSIT_TO,8,313,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,73,64463840
delay,,1733433050000000000,IN_TRANSIT_TO,12,242,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,79,64463840
delay,,1733433291000000000,IN_TRANSIT_TO,14,288,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,82,64463840
delay,,1733433533000000000,IN_TRANSIT_TO,16,388,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,84,64463840
delay,,1733433775000000000,STOPPED_AT,19,274,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,856,64463840
delay,,1733434016000000000,IN_TRANSIT_TO,22,354,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,62,64463840
delay,,1733434259000000000,STOPPED_AT,1,0,y1913,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463487
delay,,1733434500000000000,STOPPED_AT,3,0,y1913,MANY_SEATS_AVAILABLE,REVENUE,1,2,64463487
delay,,1733434742000000000,STOPPED_AT,6,0,y1913,MANY_SEATS_AVAILABLE,REVENUE,1,57,64463487
delay,,1733435709000000000,IN_TRANSIT_TO,13,238,y1913,MANY_SEATS_AVAILABLE,REVENUE,1,93,64463487
delay,,1733435950000000000,IN_TRANSIT_TO,15,348,y1913,FEW_SEATS_AVAILABLE,REVENUE,1,97,64463487
delay,,1733437159000000000,IN_TRANSIT_TO,2,278,y1913,MANY_SEATS_AVAILABLE,REVENUE,1,66,64463845
delay,,1733437401000000000,IN_TRANSIT_TO,7,247,y1913,MANY_SEATS_AVAILABLE,REVENUE,1,72,64463845
delay,,1733437884000000000,IN_TRANSIT_TO,11,298,y1913,MANY_SEATS_AVAILABLE,REVENUE,1,77,64463845
delay,,1733438609000000000,STOPPED_AT,16,555,y1913,FEW_SEATS_AVAILABLE,REVENUE,1,84,64463845
delay,,1733439334000000000,STOPPED_AT,1,128,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463496
delay,,1733439576000000000,STOPPED_AT,1,182,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463496
delay,,1733439818000000000,IN_TRANSIT_TO,5,184,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,10003,64463496
delay,,1733441026000000000,IN_TRANSIT_TO,18,193,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,102,64463496
delay,,1733441509000000000,STOPPED_AT,1,0,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463850
delay,,1733441751000000000,IN_TRANSIT_TO,3,0,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,67,64463850
delay,,1733441992000000000,IN_TRANSIT_TO,8,0,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,73,64463850
delay,,1733442234000000000,STOPPED_AT,10,41,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,75,64463850
delay,,1733442717000000000,IN_TRANSIT_TO,15,77,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,187,64463850
delay,,1733442959000000000,IN_TRANSIT_TO,17,158,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,59,64463850
delay,,1733443442000000000,STOPPED_AT,1,0,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463506
delay,,1733443684000000000,IN_TRANSIT_TO,6,0,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,57,64463506
delay,,1733443926000000000,STOPPED_AT,8,52,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,10590,64463506
delay,,1733444167000000000,IN_TRANSIT_TO,12,23,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,91,64463506
delay,,1733444650000000000,STOPPED_AT,16,185,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,99,64463506
delay,,1733445134000000000,STOPPED_AT,1,0,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463859
delay,,1733445375000000000,STOPPED_AT,1,0,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463859
delay,,1733445617000000000,STOPPED_AT,1,0,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463859
delay,,1733445859000000000,IN_TRANSIT_TO,2,98,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,66,64463859
delay,,1733447550000000000,STOPPED_AT,1,96,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463513
delay,,1733447792000000000,STOPPED_AT,1,213,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463513
delay,,1733448033000000000,STOPPED_AT,1,513,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463513
delay,,1733448275000000000,STOPPED_AT,1,753,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463513
delay,,1733448517000000000,STOPPED_AT,1,1014,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463513
delay,,1733448758000000000,STOPPED_AT,1,1234,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463513
delay,,1733449000000000000,STOPPED_AT,1,1473,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463513
delay,,1733449242000000000,STOPPED_AT,1,1774,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463513
delay,,1733449483000000000,STOPPED_AT,1,1954,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463513
delay,,1733449725000000000,STOPPED_AT,1,2253,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463513
delay,,1733449966000000000,STOPPED_AT,1,2492,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463513
delay,,1733450933000000000,IN_TRANSIT_TO,14,2666,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,95,64463513
delay,,1733451175000000000,IN_TRANSIT_TO,17,2653,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,101,64463513
delay,,1733451416000000000,STOPPED_AT,20,2622,y1911,MANY_SEATS_AVAILABLE,REVENUE,1,106,64463513
delay,,1733862324000000000,STOPPED_AT,6,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,71,64463837
delay,,1733862445000000000,STOPPED_AT,7,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,72,64463837
delay,,1733862567000000000,IN_TRANSIT_TO,8,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,73,64463837
delay,,1733862689000000000,IN_TRANSIT_TO,9,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,74,64463837
delay,,1733862932000000000,IN_TRANSIT_TO,11,0,y1896,FEW_SEATS_AVAILABLE,REVENUE,1,77,64463837
delay,,1733863053000000000,IN_TRANSIT_TO,12,0,y1896,FEW_SEATS_AVAILABLE,REVENUE,1,79,64463837
delay,,1733863175000000000,IN_TRANSIT_TO,13,0,y1896,FEW_SEATS_AVAILABLE,REVENUE,1,80,64463837
delay,,1733863296000000000,IN_TRANSIT_TO,14,2,y1896,FEW_SEATS_AVAILABLE,REVENUE,1,82,64463837
delay,,1733863539000000000,IN_TRANSIT_TO,16,74,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,84,64463837
delay,,1733863661000000000,IN_TRANSIT_TO,17,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,59,64463837
delay,,1733863782000000000,IN_TRANSIT_TO,18,14,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,854,64463837
delay,,1733864390000000000,STOPPED_AT,1,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463477
delay,,1733864511000000000,STOPPED_AT,1,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463477
delay,,1733864633000000000,STOPPED_AT,1,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463477
delay,,1733864754000000000,STOPPED_AT,1,19,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463477
delay,,1733864876000000000,STOPPED_AT,2,157,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,1,64463477
delay,,1733865119000000000,IN_TRANSIT_TO,6,146,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,57,64463477
delay,,1733865483000000000,IN_TRANSIT_TO,10,149,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,188,64463477
delay,,1733865726000000000,IN_TRANSIT_TO,12,152,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,91,64463477
delay,,1733865969000000000,STOPPED_AT,13,239,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,93,64463477
delay,,1733866091000000000,STOPPED_AT,14,307,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,95,64463477
delay,,1733866212000000000,IN_TRANSIT_TO,15,286,y1896,FEW_SEATS_AVAILABLE,REVENUE,1,97,64463477
delay,,1733866334000000000,IN_TRANSIT_TO,16,252,y1896,FEW_SEATS_AVAILABLE,REVENUE,1,99,64463477
delay,,1733866455000000000,IN_TRANSIT_TO,17,270,y1896,FEW_SEATS_AVAILABLE,REVENUE,1,101,64463477
delay,,1733866577000000000,IN_TRANSIT_TO,18,212,y1896,FEW_SEATS_AVAILABLE,REVENUE,1,102,64463477
delay,,1733866698000000000,IN_TRANSIT_TO,19,256,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,104,64463477
delay,,1733866941000000000,STOPPED_AT,1,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463844
delay,,1733867063000000000,STOPPED_AT,1,5,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463844
delay,,1733867184000000000,STOPPED_AT,3,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,67,64463844
delay,,1733867306000000000,IN_TRANSIT_TO,7,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,72,64463844
delay,,1733867428000000000,IN_TRANSIT_TO,8,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,73,64463844
delay,,1733867549000000000,STOPPED_AT,9,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,74,64463844
delay,,1733867671000000000,IN_TRANSIT_TO,11,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,77,64463844
delay,,1733867792000000000,IN_TRANSIT_TO,12,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,79,64463844
delay,,1733867914000000000,STOPPED_AT,12,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,79,64463844
delay,,1733868035000000000,IN_TRANSIT_TO,13,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,80,64463844
delay,,1733868157000000000,IN_TRANSIT_TO,14,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,82,64463844
delay,,1733868278000000000,STOPPED_AT,15,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,187,64463844
delay,,1733868400000000000,IN_TRANSIT_TO,16,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,84,64463844
delay,,1733868521000000000,IN_TRANSIT_TO,17,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,59,64463844
delay,,1733868643000000000,IN_TRANSIT_TO,18,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,854,64463844
delay,,1733868764000000000,STOPPED_AT,19,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,856,64463844
delay,,1733868886000000000,IN_TRANSIT_TO,21,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,10101,64463844
delay,,1733869007000000000,STOPPED_AT,22,0,y1896,MANY_SEATS_AVAILABLE,REVENUE,1,62,64463844
delay,,1733869130000000000,STOPPED_AT,15,0,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,187,64463841
delay,,1733869251000000000,IN_TRANSIT_TO,16,0,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,84,64463841
delay,,1733869373000000000,IN_TRANSIT_TO,17,0,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,59,64463841
delay,,1733869494000000000,IN_TRANSIT_TO,18,0,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,854,64463841
delay,,1733869616000000000,IN_TRANSIT_TO,18,30,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,854,64463841
delay,,1733870102000000000,STOPPED_AT,1,0,y1875,FEW_SEATS_AVAILABLE,REVENUE,1,64,64463495
delay,,1733870223000000000,STOPPED_AT,1,0,y1875,FEW_SEATS_AVAILABLE,REVENUE,1,64,64463495
delay,,1733870345000000000,STOPPED_AT,1,0,y1875,FEW_SEATS_AVAILABLE,REVENUE,1,64,64463495
delay,,1733870466000000000,IN_TRANSIT_TO,4,0,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,6,64463495
delay,,1733870588000000000,IN_TRANSIT_TO,6,0,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,57,64463495
delay,,1733870709000000000,STOPPED_AT,6,2,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,57,64463495
delay,,1733870831000000000,STOPPED_AT,8,0,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,10590,64463495
delay,,1733870952000000000,IN_TRANSIT_TO,9,36,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,87,64463495
delay,,1733871195000000000,IN_TRANSIT_TO,12,22,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,91,64463495
delay,,1733871317000000000,IN_TRANSIT_TO,13,42,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,93,64463495
delay,,1733871438000000000,IN_TRANSIT_TO,14,47,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,95,64463495
delay,,1733871560000000000,IN_TRANSIT_TO,15,42,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,97,64463495
delay,,1733871681000000000,IN_TRANSIT_TO,17,21,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,101,64463495
delay,,1733872046000000000,IN_TRANSIT_TO,19,137,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,104,64463495
delay,,1733872167000000000,IN_TRANSIT_TO,22,80,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,108,64463495
delay,,1733872289000000000,STOPPED_AT,1,0,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463847
delay,,1733872410000000000,STOPPED_AT,1,0,y1875,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463847
