name,tags,time,current_status,current_stop_sequence,data,id,occupancy_status,revenue,route,stop,trip
longitude,,1733425799000000000,STOPPED_AT,11,-71.08900584,y3260,MANY_SEATS_AVAILABLE,REVENUE,1,77,64459589
longitude,,1733426041000000000,STOPPED_AT,12,-71.088010249,y3260,MANY_SEATS_AVAILABLE,REVENUE,1,79,64459589
longitude,,1733426283000000000,STOPPED_AT,14,-71.08431597,y3260,MANY_SEATS_AVAILABLE,REVENUE,1,82,64459589
longitude,,1733426524000000000,IN_TRANSIT_TO,16,-71.08234475,y3260,MANY_SEATS_AVAILABLE,REVENUE,1,84,64459589
longitude,,1733426766000000000,IN_TRANSIT_TO,17,-71.07821948,y3260,MANY_SEATS_AVAILABLE,REVENUE,1,59,64459589
longitude,,1733427007000000000,STOPPED_AT,19,-71.07331133,y3260,MANY_SEATS_AVAILABLE,REVENUE,1,856,64459589
longitude,,1733427249000000000,IN_TRANSIT_TO,22,-71.0804705,y3260,MANY_SEATS_AVAILABLE,REVENUE,1,62,64459589
longitude,,1733427492000000000,STOPPED_AT,12,-71.08812905,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,79,64463833
longitude,,1733427733000000000,STOPPED_AT,14,-71.08433199,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,82,64463833
longitude,,1733427975000000000,IN_TRANSIT_TO,17,-71.07861786,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,59,64463833
longitude,,1733428216000000000,IN_TRANSIT_TO,18,-71.075925299,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,854,64463833
longitude,,1733428458000000000,STOPPED_AT,19,-71.07359,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,856,64463833
longitude,,1733428700000000000,STOPPED_AT,1,-71.08432279,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463476
longitude,,1733428941000000000,STOPPED_AT,1,-71.08414,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,64,64463476
longitude,,1733429183000000000,IN_TRANSIT_TO,3,-71.08187477,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,2,64463476
longitude,,1733429425000000000,IN_TRANSIT_TO,6,-71.073586969,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,57,64463476
longitude,,1733429666000000000,IN_TRANSIT_TO,9,-71.079050539,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,87,64463476
longitude,,1733429908000000000,STOPPED_AT,11,-71.08471901,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,89,64463476
longitude,,1733430150000000000,IN_TRANSIT_TO,13,-71.0875468,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,93,64463476
longitude,,1733430391000000000,IN_TRANSIT_TO,15,-71.09298776,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,97,64463476
longitude,,1733430633000000000,IN_TRANSIT_TO,17,-71.09881835,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,101,64463476
longitude,,1733430875000000000,IN_TRANSIT_TO,20,-71.10888841,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,106,64463476
longitude,,1733431116000000000,STOPPED_AT,1,-71.11766531,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463840
longitude,,1733431358000000000,STOPPED_AT,1,-71.11772,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463840
longitude,,1733431600000000000,STOPPED_AT,1,-71.11773,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463840
longitude,,1733431841000000000,STOPPED_AT,1,-71.11773,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463840
longitude,,1733432083000000000,STOPPED_AT,1,-71.117779179,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,110,64463840
longitude,,1733432325000000000,IN_TRANSIT_TO,5,-71.10895212,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,69,64463840
longitude,,1733432566000000000,IN_TRANSIT_TO,8,-71.10153261,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,73,64463840
longitude,,1733432808000000000,STOPPED_AT,10,-71.09348595,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,75,64463840
longitude,,1733433050000000000,IN_TRANSIT_TO,12,-71.08841175,y1895,MANY_SEATS_AVAILABLE,REVENUE,1,79,64463840
