name,tags,time,data,location
humidity,,1733300100000000000,66,"{'Boston,US'}"
humidity,,1733304600000000000,61,"{'Boston,US'}"
humidity,,1733308200000000000,54,"{'Boston,US'}"
humidity,,1733311800000000000,40,"{'Boston,US'}"
humidity,,1733315400000000000,37,"{'Boston,US'}"
humidity,,1733319000000000000,35,"{'Boston,US'}"
humidity,,1733322600000000000,32,"{'Boston,US'}"
humidity,,1733326200000000000,34,"{'Boston,US'}"
humidity,,1733329800000000000,38,"{'Boston,US'}"
humidity,,1733333400000000000,46,"{'Boston,US'}"
humidity,,1733335200000000000,54,"{'Boston,US'}"
humidity,,1733340600000000000,67,"{'Boston,US'}"
humidity,,1733344200000000000,79,"{'Boston,US'}"
humidity,,1733347800000000000,85,"{'Boston,US'}"
humidity,,1733349600000000000,89,"{'Boston,US'}"
humidity,,1733355000000000000,89,"{'Boston,US'}"
humidity,,1733357700000000000,93,"{'Boston,US'}"
humidity,,1733360400000000000,93,"{'Boston,US'}"
humidity,,1733365800000000000,86,"{'Boston,US'}"
humidity,,1733368500000000000,92,"{'Boston,US'}"
humidity,,1733373900000000000,96,"{'Boston,US'}"
humidity,,1733376600000000000,92,"{'Boston,US'}"
humidity,,1733380200000000000,92,"{'Boston,US'}"
humidity,,1733383800000000000,92,"{'Boston,US'}"
humidity,,1733387400000000000,92,"{'Boston,US'}"
humidity,,1733391000000000000,92,"{'Boston,US'}"
humidity,,1733394600000000000,92,"{'Boston,US'}"
humidity,,1733399100000000000,92,"{'Boston,US'}"
humidity,,1733401800000000000,85,"{'Boston,US'}"
humidity,,1733403600000000000,79,"{'Boston,US'}"
humidity,,1733409000000000000,70,"{'Boston,US'}"
humidity,,1733412600000000000,70,"{'Boston,US'}"
humidity,,1733416200000000000,70,"{'Boston,US'}"
humidity,,1733418000000000000,72,"{'Boston,US'}"
humidity,,1733423400000000000,64,"{'Boston,US'}"
humidity,,1733427000000000000,61,"{'Boston,US'}"
humidity,,1733430600000000000,59,"{'Boston,US'}"
humidity,,1733433300000000000,50,"{'Boston,US'}"
humidity,,1733437800000000000,54,"{'Boston,US'}"
humidity,,1733439600000000000,54,"{'Boston,US'}"
humidity,,1733445000000000000,58,"{'Boston,US'}"
humidity,,1733446800000000000,61,"{'Boston,US'}"
humidity,,1733452200000000000,61,"{'Boston,US'}"
humidity,,1733454000000000000,59,"{'Boston,US'}"
humidity,,1733457600000000000,59,"{'Boston,US'}"
humidity,,1733461200000000000,58,"{'Boston,US'}"
humidity,,1733466600000000000,56,"{'Boston,US'}"
humidity,,1733470200000000000,53,"{'Boston,US'}"
humidity,,1733473800000000000,47,"{'Boston,US'}"
humidity,,1733477400000000000,44,"{'Boston,US'}"
humidity,,1733481000000000000,43,"{'Boston,US'}"
humidity,,1733484600000000000,43,"{'Boston,US'}"
humidity,,1733488200000000000,38,"{'Boston,US'}"
humidity,,1733490000000000000,33,"{'Boston,US'}"
humidity,,1733493600000000000,30,"{'Boston,US'}"
humidity,,1733497200000000000,27,"{'Boston,US'}"
humidity,,1733500800000000000,30,"{'Boston,US'}"
humidity,,1733506200000000000,28,"{'Boston,US'}"
humidity,,1733508000000000000,37,"{'Boston,US'}"
humidity,,1733513400000000000,41,"{'Boston,US'}"
humidity,,1733517000000000000,44,"{'Boston,US'}"
humidity,,1733520600000000000,44,"{'Boston,US'}"
humidity,,1733524200000000000,44,"{'Boston,US'}"
humidity,,1733527800000000000,46,"{'Boston,US'}"
humidity,,1733531400000000000,48,"{'Boston,US'}"
humidity,,1733533200000000000,55,"{'Boston,US'}"
humidity,,1733539500000000000,58,"{'Boston,US'}"
humidity,,1733542200000000000,63,"{'Boston,US'}"
humidity,,1733545800000000000,58,"{'Boston,US'}"
humidity,,1733547600000000000,58,"{'Boston,US'}"
humidity,,1733553000000000000,58,"{'Boston,US'}"
humidity,,1733556600000000000,55,"{'Boston,US'}"
humidity,,1733560200000000000,53,"{'Boston,US'}"
humidity,,1733563800000000000,53,"{'Boston,US'}"
humidity,,1733567400000000000,51,"{'Boston,US'}"
humidity,,1733569200000000000,47,"{'Boston,US'}"
humidity,,1733574600000000000,42,"{'Boston,US'}"
humidity,,1733576400000000000,42,"{'Boston,US'}"
humidity,,1733580000000000000,42,"{'Boston,US'}"
humidity,,1733585400000000000,44,"{'Boston,US'}"
humidity,,1733587200000000000,48,"{'Boston,US'}"
humidity,,1733592600000000000,50,"{'Boston,US'}"
humidity,,1733596200000000000,52,"{'Boston,US'}"
humidity,,1733599800000000000,54,"{'Boston,US'}"
humidity,,1733603400000000000,61,"{'Boston,US'}"
humidity,,1733607000000000000,61,"{'Boston,US'}"
humidity,,1733610600000000000,61,"{'Boston,US'}"
humidity,,1733614200000000000,59,"{'Boston,US'}"
humidity,,1733616000000000000,78,"{'Boston,US'}"
humidity,,1733619600000000000,89,"{'Boston,US'}"
humidity,,1733625000000000000,92,"{'Boston,US'}"
humidity,,1733628600000000000,88,"{'Boston,US'}"
humidity,,1733632200000000000,88,"{'Boston,US'}"
humidity,,1733634900000000000,79,"{'Boston,US'}"
humidity,,1733640300000000000,78,"{'Boston,US'}"
humidity,,1733641200000000000,70,"{'Boston,US'}"
humidity,,1733645700000000000,67,"{'Boston,US'}"
humidity,,1733650200000000000,62,"{'Boston,US'}"
humidity,,1733652900000000000,55,"{'Boston,US'}"
humidity,,1733656500000000000,51,"{'Boston,US'}"
humidity,,1733661000000000000,43,"{'Boston,US'}"
humidity,,1733664600000000000,41,"{'Boston,US'}"
humidity,,1733668200000000000,44,"{'Boston,US'}"
humidity,,1733671800000000000,46,"{'Boston,US'}"
humidity,,1733675400000000000,49,"{'Boston,US'}"
humidity,,1733678100000000000,49,"{'Boston,US'}"
humidity,,1733682600000000000,49,"{'Boston,US'}"
humidity,,1733684400000000000,52,"{'Boston,US'}"
humidity,,1733689800000000000,58,"{'Boston,US'}"
humidity,,1733691600000000000,60,"{'Boston,US'}"
humidity,,1733697000000000000,62,"{'Boston,US'}"
humidity,,1733701500000000000,67,"{'Boston,US'}"
humidity,,1733704200000000000,64,"{'Boston,US'}"
humidity,,1733707800000000000,67,"{'Boston,US'}"
humidity,,1733711400000000000,73,"{'Boston,US'}"
humidity,,1733715000000000000,70,"{'Boston,US'}"
humidity,,1733716800000000000,72,"{'Boston,US'}"
humidity,,1733722200000000000,78,"{'Boston,US'}"
humidity,,1733725800000000000,82,"{'Boston,US'}"
humidity,,1733729400000000000,82,"{'Boston,US'}"
humidity,,1733733000000000000,82,"{'Boston,US'}"
humidity,,1733736600000000000,79,"{'Boston,US'}"
humidity,,1733740200000000000,79,"{'Boston,US'}"
humidity,,1733743800000000000,67,"{'Boston,US'}"
humidity,,1733747400000000000,78,"{'Boston,US'}"
humidity,,1733751000000000000,67,"{'Boston,US'}"
humidity,,1733754600000000000,67,"{'Boston,US'}"
humidity,,1733758200000000000,79,"{'Boston,US'}"
humidity,,1733761800000000000,79,"{'Boston,US'}"
humidity,,1733763600000000000,85,"{'Boston,US'}"
humidity,,1733769000000000000,89,"{'Boston,US'}"
humidity,,1733772600000000000,89,"{'Boston,US'}"
humidity,,1733776200000000000,89,"{'Boston,US'}"
humidity,,1733779800000000000,93,"{'Boston,US'}"
humidity,,1733783400000000000,93,"{'Boston,US'}"
humidity,,1733785200000000000,96,"{'Boston,US'}"
humidity,,1733790600000000000,93,"{'Boston,US'}"
humidity,,1733794200000000000,93,"{'Boston,US'}"
humidity,,1733797800000000000,93,"{'Boston,US'}"
humidity,,1733801400000000000,96,"{'Boston,US'}"
humidity,,1733805000000000000,96,"{'Boston,US'}"
humidity,,1733808600000000000,96,"{'Boston,US'}"
humidity,,1733813100000000000,88,"{'Boston,US'}"
humidity,,1733814000000000000,96,"{'Boston,US'}"
humidity,,1733819400000000000,88,"{'Boston,US'}"
humidity,,1733823000000000000,85,"{'Boston,US'}"
humidity,,1733826600000000000,88,"{'Boston,US'}"
humidity,,1733830200000000000,85,"{'Boston,US'}"
humidity,,1733832000000000000,88,"{'Boston,US'}"
humidity,,1733835600000000000,100,"{'Boston,US'}"
humidity,,1733841000000000000,100,"{'Boston,US'}"
humidity,,1733844600000000000,100,"{'Boston,US'}"
humidity,,1733848200000000000,100,"{'Boston,US'}"
humidity,,1733851800000000000,100,"{'Boston,US'}"
humidity,,1733855400000000000,100,"{'Boston,US'}"
humidity,,1733859000000000000,100,"{'Boston,US'}"
humidity,,1733862600000000000,100,"{'Boston,US'}"
humidity,,1733866200000000000,100,"{'Boston,US'}"
humidity,,1733869800000000000,100,"{'Boston,US'}"
humidity,,1733873400000000000,100,"{'Boston,US'}"
humidity,,1733877000000000000,100,"{'Boston,US'}"
humidity,,1733878800000000000,100,"{'Boston,US'}"
humidity,,1733885100000000000,100,"{'Boston,US'}"
humidity,,1733886000000000000,100,"{'Boston,US'}"
humidity,,1733889600000000000,100,"{'Boston,US'}"
humidity,,1733893200000000000,100,"{'Boston,US'}"
humidity,,1733896800000000000,100,"{'Boston,US'}"
humidity,,1733902200000000000,100,"{'Boston,US'}"
humidity,,1733905800000000000,96,"{'Boston,US'}"
humidity,,1733909400000000000,98,"{'Boston,US'}"
humidity,,1733912100000000000,98,"{'Boston,US'}"
humidity,,1733916600000000000,93,"{'Boston,US'}"
humidity,,1733920200000000000,96,"{'Boston,US'}"
humidity,,1733923800000000000,96,"{'Boston,US'}"
humidity,,1733927400000000000,96,"{'Boston,US'}"
humidity,,1733931000000000000,96,"{'Boston,US'}"
humidity,,1733933700000000000,93,"{'Boston,US'}"
humidity,,1733938200000000000,96,"{'Boston,US'}"
humidity,,1733941800000000000,97,"{'Boston,US'}"
humidity,,1733943600000000000,93,"{'Boston,US'}"
humidity,,1733949000000000000,93,"{'Boston,US'}"
humidity,,1733952600000000000,93,"{'Boston,US'}"
humidity,,1733954400000000000,96,"{'Boston,US'}"
humidity,,1733958000000000000,96,"{'Boston,US'}"
humidity,,1733963400000000000,97,"{'Boston,US'}"
humidity,,1733967000000000000,89,"{'Boston,US'}"
humidity,,1733970600000000000,79,"{'Boston,US'}"
humidity,,1733974200000000000,70,"{'Boston,US'}"
humidity,,1733976000000000000,79,"{'Boston,US'}"
humidity,,1733981400000000000,67,"{'Boston,US'}"
humidity,,1733985000000000000,55,"{'Boston,US'}"
