time,temp_c,precip_mm,humidity,wind_kph
2024-12-04 08:15:00,-1.1,0.0,66,8.3
2024-12-04 09:30:00,0.0,0.0,61,7.6
2024-12-04 10:30:00,1.1,0.0,54,7.2
2024-12-04 11:30:00,1.7,0.0,40,7.6
2024-12-04 12:30:00,2.2,0.0,37,8.6
2024-12-04 13:30:00,3.3,0.0,35,9.4
2024-12-04 14:30:00,3.3,0.0,32,11.5
2024-12-04 15:30:00,3.3,0.0,34,12.6
2024-12-04 16:30:00,2.8,0.0,38,14.0
2024-12-04 17:30:00,2.2,0.0,46,14.0
2024-12-04 18:00:00,2.2,0.0,54,13.3
2024-12-04 19:30:00,2.2,0.0,67,15.1
2024-12-04 20:30:00,2.2,0.0,79,16.2
2024-12-04 21:30:00,2.8,0.0,85,16.9
2024-12-04 22:00:00,3.3,0.0,89,16.2
2024-12-04 23:30:00,3.9,0.0,89,14.8
2024-12-05 00:15:00,3.9,0.0,93,13.7
2024-12-05 01:00:00,4.4,0.0,93,15.5
2024-12-05 02:30:00,5.2,4.54,86,15.1
2024-12-05 03:15:00,1.1,0.0,92,13.3
2024-12-05 04:45:00,0.6,0.0,96,18.0
2024-12-05 05:30:00,1.1,3.49,92,17.6
2024-12-05 06:30:00,1.1,0.0,92,16.9
2024-12-05 07:30:00,1.1,0.0,92,14.8
2024-12-05 08:30:00,1.7,0.0,92,12.6
2024-12-05 09:30:00,1.1,0.0,92,13.0
2024-12-05 10:30:00,1.7,0.0,92,9.7
2024-12-05 11:45:00,2.2,0.0,92,8.6
2024-12-05 12:30:00,2.8,0.0,85,11.9
2024-12-05 13:00:00,3.9,0.0,79,17.3
2024-12-05 14:30:00,4.4,1.35,70,12.6
2024-12-05 15:30:00,3.9,0.0,70,15.1
2024-12-05 16:30:00,3.9,0.0,70,17.3
2024-12-05 17:00:00,3.9,0.0,72,22.7
2024-12-05 18:30:00,3.9,0.0,64,20.9
2024-12-05 19:30:00,2.8,0.0,61,24.8
2024-12-05 20:30:00,2.8,0.0,59,26.6
2024-12-05 21:15:00,3.9,0.0,50,25.6
2024-12-05 22:30:00,2.2,0.0,54,25.9
2024-12-05 23:00:00,2.2,0.0,54,25.2
2024-12-06 00:30:00,1.7,0.0,58,26.3
2024-12-06 01:00:00,1.1,0.0,61,26.3
2024-12-06 02:30:00,1.1,0.0,61,26.6
2024-12-06 03:00:00,1.1,0.0,59,26.3
2024-12-06 04:00:00,1.1,0.0,59,26.3
2024-12-06 05:00:00,0.4,0.0,58,24.8
2024-12-06 06:30:00,0.3,0.0,56,24.5
2024-12-06 07:30:00,-1.1,0.0,53,23.8
2024-12-06 08:30:00,-1.1,0.0,47,23.8
2024-12-06 09:30:00,-1.1,0.0,44,23.0
2024-12-06 10:30:00,-0.6,0.0,43,23.8
2024-12-06 11:30:00,-0.6,0.0,43,24.1
2024-12-06 12:30:00,-0.6,0.0,38,24.1
2024-12-06 13:00:00,0.1,0.0,33,24.8
2024-12-06 14:00:00,0.2,0.0,30,23.8
2024-12-06 15:00:00,0.1,0.0,27,21.6
2024-12-06 16:00:00,-0.6,0.0,30,19.8
2024-12-06 17:30:00,-1.1,0.0,28,19.1
2024-12-06 18:00:00,-1.1,0.0,37,18.0
2024-12-06 19:30:00,-1.7,0.0,41,17.6
2024-12-06 20:30:00,-1.7,0.0,44,17.6
2024-12-06 21:30:00,-1.7,0.0,44,17.3
2024-12-06 22:30:00,-1.7,0.0,44,15.8
2024-12-06 23:30:00,-2.2,0.0,46,16.2
2024-12-07 00:30:00,-2.2,0.0,48,15.1
2024-12-07 01:00:00,-2.8,0.0,55,14.8
2024-12-07 02:45:00,-2.8,0.0,58,15.1
2024-12-07 03:30:00,-3.3,0.0,63,14.4
2024-12-07 04:30:00,-2.8,0.0,58,15.1
2024-12-07 05:00:00,-2.8,0.0,58,15.5
2024-12-07 06:30:00,-2.8,0.0,58,15.1
2024-12-07 07:30:00,-2.2,0.0,55,14.8
2024-12-07 08:30:00,-1.7,0.0,53,13.7
2024-12-07 09:30:00,-1.7,0.0,53,14.0
2024-12-07 10:30:00,0.2,0.0,51,15.5
2024-12-07 11:00:00,1.7,0.0,47,16.6
2024-12-07 12:30:00,3.3,0.0,42,16.9
2024-12-07 13:00:00,3.3,0.0,42,17.3
2024-12-07 14:00:00,3.9,0.0,42,16.6
2024-12-07 15:30:00,3.3,0.0,44,14.8
2024-12-07 16:00:00,2.2,0.0,48,12.6
2024-12-07 17:30:00,2.2,0.0,50,9.7
2024-12-07 18:30:00,1.7,0.0,52,9.0
2024-12-07 19:30:00,1.7,0.0,54,7.6
2024-12-07 20:30:00,1.1,0.0,61,8.3
2024-12-07 21:30:00,1.1,0.0,61,8.6
2024-12-07 22:30:00,1.1,0.0,61,9.4
2024-12-07 23:30:00,1.1,0.0,59,10.8
2024-12-08 00:00:00,0.1,0.0,78,13.7
2024-12-08 01:00:00,-0.6,0.0,89,14.0
2024-12-08 02:30:00,-0.6,0.0,92,16.9
2024-12-08 03:30:00,0.1,0.0,88,19.1
2024-12-08 04:30:00,0.2,0.0,88,22.0
2024-12-08 05:15:00,1.1,0.0,79,24.1
2024-12-08 06:45:00,1.7,0.0,78,25.6
2024-12-08 07:00:00,2.8,0.0,70,24.8
2024-12-08 08:15:00,3.3,0.0,67,24.5
2024-12-08 09:30:00,4.4,0.0,62,24.5
2024-12-08 10:15:00,5.6,0.0,55,23.4
2024-12-08 11:15:00,6.1,0.0,51,22.3
2024-12-08 12:30:00,7.8,0.0,43,20.9
2024-12-08 13:30:00,9.4,0.0,41,20.9
2024-12-08 14:30:00,9.4,0.0,44,20.2
2024-12-08 15:30:00,8.9,0.0,46,20.2
2024-12-08 16:30:00,8.3,0.0,49,20.9
2024-12-08 17:15:00,8.3,0.0,49,21.6
2024-12-08 18:30:00,8.3,0.0,49,20.2
2024-12-08 19:00:00,8.3,0.0,52,19.1
2024-12-08 20:30:00,7.2,0.0,58,18.4
2024-12-08 21:00:00,7.2,0.0,60,17.6
2024-12-08 22:30:00,6.7,0.0,62,16.9
2024-12-08 23:45:00,5.6,0.0,67,16.9
2024-12-09 00:30:00,5.6,0.0,64,13.3
2024-12-09 01:30:00,5.6,0.0,67,13.3
2024-12-09 02:30:00,4.4,0.0,73,11.9
2024-12-09 03:30:00,5.2,0.0,70,10.1
2024-12-09 04:00:00,3.9,0.0,72,12.2
2024-12-09 05:30:00,2.8,0.0,78,8.3
2024-12-09 06:30:00,3.3,0.0,82,7.6
2024-12-09 07:30:00,3.3,0.0,82,6.1
2024-12-09 08:30:00,3.9,0.0,82,6.5
2024-12-09 09:30:00,4.4,0.0,79,4.3
